"ConflictId","Year","GWNoA","Incompatibility","n_rebels","n_conflicts","maxint","new.joiner","new.alliance","new.splinter","latentmean","mtnest","oil.fearon","oil.pc.exports","oilpc","ethfrac","relfrac","country_ethnic","country_excluded","pop","area","rgdppc","polity2","mediation","external_supporters","lootable","tot.resource.sites","BdBest","existing.support","cont_civil","new.multi.alliance","new.mono.alliance","latentmean_lag","latentmean_lag2","lagged_rebels","oilpc_lag","oil.pc.exports_lag","lag_conflicts","latentmean_diff","lgdp","lpop","larea","yearf","new_conflict","multireb","postcw","conflictfe"
"1-24",1975,"775","government",1,1,2,0,0,0,-1.44496669288477,35.6000022888184,0,1.02402906237387,NA,0.475504875183105,0.204200029373169,12,11,30221,653540,675.02,-6,0,1,1,76,NA,1,3,0,0,-1.44530377389063,-1.44397475739395,1,NA,1.08209100686554,1,-0.00132901649667994,6.51474232006321,10.3162923259477,13.3901590190485,"1975",0,0,0,"1-24"
"1-24",1976,"775","government",1,1,2,0,0,0,-1.44453700533451,35.6000022888184,0,0.962830596843816,NA,0.475504875183105,0.204200029373169,12,11,30845,653540,700.98,-6,0,1,1,76,NA,1,3,0,0,-1.44496669288477,-1.44530377389063,1,NA,1.02402906237387,1,0.000337081005860052,6.55247935595711,10.3367299416437,13.3901590190485,"1976",0,0,0,"1-24"
"1-24",1977,"775","government",1,1,2,0,0,0,-1.58145621607387,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,31461,653540,725.32,-6,0,1,1,76,NA,1,3,0,0,-1.44453700533451,-1.44496669288477,1,NA,0.962830596843816,1,0.000429687550260072,6.58661293678582,10.3565039625025,13.3901590190485,"1977",0,0,0,"1-24"
"1-24",1978,"775","government",1,1,2,0,0,0,-1.79038078669041,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,32099,653540,757.77,-6,0,1,1,76,NA,1,2,0,0,-1.58145621607387,-1.44453700533451,1,NA,NA,1,-0.13691921073936,6.63037990951899,10.3765801559849,13.3901590190485,"1978",0,0,0,"1-24"
"1-24",1979,"775","government",1,1,2,0,0,0,-1.45988462484356,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,32750,653540,783.73,-6,0,1,1,76,NA,1,3,0,0,-1.79038078669041,-1.58145621607387,1,NA,NA,1,-0.20892457061654,6.66406457328022,10.3966582410634,13.3901590190485,"1979",0,0,0,"1-24"
"1-24",1980,"775","government",1,1,2,0,0,0,-1.37907579891927,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,33511,653540,819.43,-8,0,0,1,76,NA,0,3,0,0,-1.45988462484356,-1.79038078669041,1,NA,NA,1,0.33049616184685,6.7086089765978,10.4196290221244,13.3901590190485,"1980",0,0,0,"1-24"
"1-24",1981,"775","government",1,1,1,0,0,0,-1.29366036326867,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,34171,653540,855.13,-8,0,0,1,76,NA,0,3,0,0,-1.37907579891927,-1.45988462484356,1,NA,NA,1,0.0808088259242901,6.75125350416245,10.4391326101186,13.3901590190485,"1981",0,0,0,"1-24"
"1-24",1982,"775","government",1,1,2,0,0,0,-1.15297274122823,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,34844,653540,892.45,-8,0,0,1,76,NA,0,4,0,0,-1.29366036326867,-1.37907579891927,1,NA,NA,1,0.0854154356505998,6.79397048967552,10.4586362349388,13.3901590190485,"1982",0,0,0,"1-24"
"1-24",1983,"775","government",1,1,1,0,0,0,-1.2210332032862,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,35530,653540,910.3,-8,0,0,1,76,NA,0,4,0,0,-1.15297274122823,-1.29366036326867,1,NA,NA,1,0.14068762204044,6.81377421551124,10.4781326890151,13.3901590190485,"1983",0,0,0,"1-24"
"1-24",1984,"775","government",1,1,1,0,0,0,-1.15585745587806,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,36230,653540,950.87,-8,0,0,1,76,NA,0,4,0,0,-1.2210332032862,-1.15297274122823,1,NA,NA,1,-0.0680604620579699,6.85737735498893,10.4976427838891,13.3901590190485,"1984",0,0,0,"1-24"
"1-24",1985,"775","government",1,1,1,0,0,0,-1.2436286437455,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,36943,653540,971.96,-8,0,0,1,76,NA,0,4,0,0,-1.15585745587806,-1.2210332032862,1,NA,NA,1,0.0651757474081398,6.87931465135029,10.5171314632331,13.3901590190485,"1985",0,0,0,"1-24"
"1-24",1986,"775","government",1,1,2,0,0,0,-1.38054128447557,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,37874,653540,931.39,-8,0,0,1,76,NA,0,4,0,0,-1.2436286437455,-1.15585745587806,1,NA,NA,1,-0.0877711878674399,6.83667809396498,10.5420201398229,13.3901590190485,"1986",0,0,0,"1-24"
"1-24",1987,"775","government",1,1,1,0,0,0,-1.5552615503144,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,38828,653540,881.09,-8,0,0,1,76,NA,0,4,0,0,-1.38054128447557,-1.2436286437455,1,NA,NA,1,-0.13691264073007,6.78115977735873,10.5668969148321,13.3901590190485,"1987",0,0,0,"1-24"
"1-24",1988,"775","government",1,1,2,0,0,0,-1.77165396375804,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,39807,653540,748.04,-6,0,0,1,76,NA,0,4,0,0,-1.5552615503144,-1.38054128447557,1,NA,NA,1,-0.17472026583883,6.61745645248052,10.5917980552045,13.3901590190485,"1988",0,0,0,"1-24"
"1-24",1990,"775","government",1,1,1,1,0,0,-1.55078947712607,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,41354,653540,1087.71,-7,0,0,1,76,25,0,7,0,0,-1.77165396375804,-1.5552615503144,1,NA,NA,1,-0.21639241344364,6.99182984776904,10.6299244309607,13.3901590190485,"1990",0,0,1,"1-24"
"1-24",1991,"775","government",1,1,1,0,0,0,-1.54237785746642,35.6000022888184,0,0.239869816452153,NA,0.475504875183105,0.204200029373169,12,11,41552,653540,1061.42,-7,0,0,1,76,25,0,4,0,0,-1.55078947712607,-1.77165396375804,1,NA,NA,1,0.22086448663197,6.96736291325376,10.6347009339025,13.3901590190485,"1991",0,0,1,"1-24"
"1-24",1992,"775","government",1,1,1,0,0,0,-1.62208655501969,35.6000022888184,0,0.297097379381239,NA,0.475504875183105,0.204200029373169,12,11,42333,653540,1147.21,-7,0,0,1,76,25,0,5,0,0,-1.54237785746642,-1.55078947712607,1,NA,0.239869816452153,1,0.00841161965964998,7.04508818668324,10.6533222027259,13.3901590190485,"1992",0,0,1,"1-24"
"1-24",1994,"775","government",1,1,1,0,0,0,-1.58597198302496,35.6000022888184,0,NA,NA,0.475504875183105,0.204200029373169,12,11,43922,653540,1263.46,-7,0,0,1,76,25,0,7,0,0,-1.62208655501969,-1.54237785746642,1,NA,0.297097379381239,1,-0.0797086975532699,7.14160926823452,10.6901706124872,13.3901590190485,"1994",0,0,1,"1-24"
"1-248",2003,"800","territory",1,1,1,0,1,0,-0.193458179296304,NA,NA,2.49524666088416,1573.0600607137,NA,NA,5,4,65370.28,510890,6453.31,9,0,0,1,31,26,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,8.77234845645344,11.087822999908,13.1439095818253,"2003",NA,NA,1,"1-248"
"1-248",2004,"800","territory",1,1,1,0,0,0,-0.623422531520678,NA,NA,3.21323236019285,2079.04259113442,NA,NA,5,4,66060.38,510890,6831.74,9,0,0,1,31,164,0,1,0,0,-0.193458179296304,NA,1,1573.0600607137,2.49524666088416,1,NA,8.82933467853816,11.0983244512746,13.1439095818253,"2004",0,0,1,"1-248"
"1-248",2005,"800","territory",1,1,1,0,0,0,-0.922025275346281,NA,NA,4.12267343962901,3799.38621166458,NA,NA,5,4,66698.48,510890,7337.56,9,0,0,1,31,205,0,4,0,0,-0.623422531520678,-0.193458179296304,1,2079.04259113442,3.21323236019285,1,-0.429964352224374,8.90076164127498,11.1079374430384,13.1439095818253,"2005",0,0,1,"1-248"
"1-248",2006,"800","territory",1,1,1,0,0,0,-0.986883539915698,NA,NA,4.67879809970124,4990.15524461158,NA,NA,5,4,67276.38,510890,7468.2,-5,0,0,1,31,212,0,3,0,0,-0.922025275346281,-0.623422531520678,1,3799.38621166458,4.12267343962901,1,-0.298602743825603,8.91840928523499,11.1165644882052,13.1439095818253,"2006",0,0,1,"1-248"
"1-248",2007,"800","territory",1,1,1,0,0,0,-0.909487884643897,NA,NA,4.26831033136138,5274.64932789648,NA,NA,5,4,67796.45,510890,7593.18,-1,0,0,1,31,197,0,3,0,0,-0.986883539915698,-0.922025275346281,1,4990.15524461158,4.67879809970124,1,-0.064858264569417,8.93500575497729,11.1242651126757,13.1439095818253,"2007",0,0,1,"1-248"
